;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 30.07.2018 01:40:35
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x158A      	BSF        PCLATH, 3
0x0001	0x2800      	GOTO       2048
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00D7      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00D6      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00A2      	MOVWF      34
0x000F	0x087C      	MOVF       R12, 0
0x0010	0x00A1      	MOVWF      33
0x0011	0x087D      	MOVF       R13, 0
0x0012	0x00A0      	MOVWF      32
;MyProject.c,29 :: 		void interrupt() // Herhangi bir kesme oluþtuðunda, program duraksatýlýr ve bu fonksiyona girilir. Kýsacasý bu fonksiyon, kesme fonksiyonudur
;MyProject.c,31 :: 		if(PIR1.TMR1IF == 1) // Eðer TIMER1'in  INTERRUPT FLAG bitinin deðeri 1 ise; yani TIMER1 kesmesi (interrupt) meydana gelmiþ ise aþaðýdaki komutlar icra edilir
0x0013	0x1C0C      	BTFSS      PIR1, 0
0x0014	0x2875      	GOTO       L_interrupt0
;MyProject.c,33 :: 		if(mod != 10) // Eðer mod deðiþkeninin deðeri 10'a eþit deðilse aþaðýdaki komutlar icra edilir (mod deðiþkeninin deðeri 10 ise, saat ayarý yapýlýyor demektir. Bu yüzden saat ilerletilmez ve bu kodlar icra edilmez.)
0x0015	0x0823      	MOVF       _mod, 0
0x0016	0x3A0A      	XORLW      10
0x0017	0x1903      	BTFSC      STATUS, 2
0x0018	0x286F      	GOTO       L_interrupt1
;MyProject.c,35 :: 		sayac = sayac+1; // Sayaç deðiþkeninin deðerini 1 arttýr (Yapýlan ayarlamalar sonucu, TIMER1 kesmesi, 200 ms periyotla meydana gelmektedir. Doðal olarak her 200ms'de bir kez sayac deðiþkeninin deðeri arttýrýlýr.)
0x0019	0x1683      	BSF        STATUS, 5
0x001A	0x0ACF      	INCF       _sayac, 1
;MyProject.c,36 :: 		if(sayac == 5) // Eðer sayaç deðiþkeninin deðeri 5 ise; yani 1 saniye olmuþ ise aþaðýdaki komutlar icra edilir
0x001B	0x084F      	MOVF       _sayac, 0
0x001C	0x3A05      	XORLW      5
0x001D	0x1D03      	BTFSS      STATUS, 2
0x001E	0x282B      	GOTO       L_interrupt2
;MyProject.c,38 :: 		saniye = saniye+1; // Saniye deðerini bir arttýr
0x001F	0x1283      	BCF        STATUS, 5
0x0020	0x0AD9      	INCF       _saniye, 1
;MyProject.c,39 :: 		yaz = 1; // LCD'yi yenilemek için kullanýlan bayrak deðiþkeninin deðerini 1 yap (Yani LCD'yi temizlemek için gerekli deðeri "set" et. LCD, ana program içerisinde her döngüde temizlenecek olsaydý ekrandaki görüntü göz ile görülemezdi. Bu sebeple, LCD'ye yazma iþlemini yavaþlatmak adýna saniyede 1 kez ekran temizlenir ve yeni deðerler yazýlýr. Bu iþlem mod = 0 yani standart çalýþma modu için yapýlýr)
0x0021	0x3001      	MOVLW      1
0x0022	0x00E4      	MOVWF      _yaz
;MyProject.c,40 :: 		if(saniye == 60) // Eðer saniye deðeri 60'a ulaþtýysa aþaðýdaki komutlar icra edilir
0x0023	0x0859      	MOVF       _saniye, 0
0x0024	0x3A3C      	XORLW      60
0x0025	0x1D03      	BTFSS      STATUS, 2
0x0026	0x2829      	GOTO       L_interrupt3
